job_id,protein,protein_label,protein_group,ligand,ligand_label,ligand_field,assembly,ha_chains,ligand_copies,monomer_length,total_polymer_residues,config,sampling_steps,diffusion_samples,max_parallel_samples,recycling_steps,sampling_steps_affinity,diffusion_samples_affinity,sample_rank,status,msa_depth,msa_raw_depth,msa_csv,confidence_score,complex_plddt,ptm,iptm,ligand_iptm,protein_iptm,complex_iplddt,complex_pde,complex_ipde,affinity_pred_value,affinity_probability_binary,affinity_pred_value1,affinity_probability_binary1,affinity_pred_value2,affinity_probability_binary2,structure_path,confidence_json,affinity_json,note
duck_bavaria_h1_sia_ha_trimer_affinity,duck_bavaria_h1,A/duck/Bavaria/1/77,H1,sia,SIA,ccd,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5,10,1,1,0,200,5,0,ok,1227,1234,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_sia_ha_trimer_affinity/boltz_results_duck_bavaria_h1_sia_ha_trimer_affinity/msa/duck_bavaria_h1_sia_ha_trimer_affinity_0.csv,0.446077823638916,0.4543640911579132,0.4504806697368622,0.41293275356292725,0.43957239389419556,0.41509297490119934,0.4304240643978119,3.1499972343444824,9.539990425109863,-0.039714545011520386,0.371628075838089,0.18802320957183838,0.31288886070251465,-0.26745229959487915,0.43036729097366333,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_sia_ha_trimer_affinity/boltz_results_duck_bavaria_h1_sia_ha_trimer_affinity/predictions/duck_bavaria_h1_sia_ha_trimer_affinity/duck_bavaria_h1_sia_ha_trimer_affinity_model_0.cif,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_sia_ha_trimer_affinity/boltz_results_duck_bavaria_h1_sia_ha_trimer_affinity/predictions/duck_bavaria_h1_sia_ha_trimer_affinity/confidence_duck_bavaria_h1_sia_ha_trimer_affinity_model_0.json,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_sia_ha_trimer_affinity/boltz_results_duck_bavaria_h1_sia_ha_trimer_affinity/predictions/duck_bavaria_h1_sia_ha_trimer_affinity/affinity_duck_bavaria_h1_sia_ha_trimer_affinity.json,
duck_bavaria_h1_ngc_ha_trimer_affinity,duck_bavaria_h1,A/duck/Bavaria/1/77,H1,ngc,NGC,ccd,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5,10,1,1,0,200,5,0,ok,1227,1234,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_ngc_ha_trimer_affinity/boltz_results_duck_bavaria_h1_ngc_ha_trimer_affinity/msa/duck_bavaria_h1_ngc_ha_trimer_affinity_0.csv,0.4452831745147705,0.4620915353298187,0.4146593511104584,0.37804973125457764,0.42912325263023376,0.37781432271003723,0.43079036474227905,3.181209087371826,10.218951225280762,1.2713921070098877,0.41426557302474976,1.5426634550094604,0.43560928106307983,1.000120759010315,0.3929218351840973,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_ngc_ha_trimer_affinity/boltz_results_duck_bavaria_h1_ngc_ha_trimer_affinity/predictions/duck_bavaria_h1_ngc_ha_trimer_affinity/duck_bavaria_h1_ngc_ha_trimer_affinity_model_0.cif,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_ngc_ha_trimer_affinity/boltz_results_duck_bavaria_h1_ngc_ha_trimer_affinity/predictions/duck_bavaria_h1_ngc_ha_trimer_affinity/confidence_duck_bavaria_h1_ngc_ha_trimer_affinity_model_0.json,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s10_n1_p1_r0_as200_an5/duck_bavaria_h1_ngc_ha_trimer_affinity/boltz_results_duck_bavaria_h1_ngc_ha_trimer_affinity/predictions/duck_bavaria_h1_ngc_ha_trimer_affinity/affinity_duck_bavaria_h1_ngc_ha_trimer_affinity.json,
duck_bavaria_h1_a23_ha_trimer_affinity,duck_bavaria_h1,A/duck/Bavaria/1/77,H1,a23,alpha2-3 SIA glycan,smiles,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,0,ok,1227,1234,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/duck_bavaria_h1_a23_ha_trimer_affinity/boltz_results_duck_bavaria_h1_a23_ha_trimer_affinity/msa/duck_bavaria_h1_a23_ha_trimer_affinity_0.csv,0.8989777565002441,0.9044530987739563,0.8880091309547424,0.8770762085914612,0.8453794121742249,0.8861006498336792,0.8680518865585327,0.6158401370048523,2.7913458347320557,1.3631173372268677,0.4721866250038147,1.7320960760116577,0.43441638350486755,0.9941385984420776,0.5099568963050842,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/duck_bavaria_h1_a23_ha_trimer_affinity/boltz_results_duck_bavaria_h1_a23_ha_trimer_affinity/predictions/duck_bavaria_h1_a23_ha_trimer_affinity/duck_bavaria_h1_a23_ha_trimer_affinity_model_0.cif,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/duck_bavaria_h1_a23_ha_trimer_affinity/boltz_results_duck_bavaria_h1_a23_ha_trimer_affinity/predictions/duck_bavaria_h1_a23_ha_trimer_affinity/confidence_duck_bavaria_h1_a23_ha_trimer_affinity_model_0.json,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/duck_bavaria_h1_a23_ha_trimer_affinity/boltz_results_duck_bavaria_h1_a23_ha_trimer_affinity/predictions/duck_bavaria_h1_a23_ha_trimer_affinity/affinity_duck_bavaria_h1_a23_ha_trimer_affinity.json,
duck_bavaria_h1_a26_ha_trimer_affinity,duck_bavaria_h1,A/duck/Bavaria/1/77,H1,a26,alpha2-6 SIA glycan,smiles,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,,failed,,,,,,,,,,,,,,,,,,,,,,
duck_bavaria_h1_sia_ha_trimer_affinity,duck_bavaria_h1,A/duck/Bavaria/1/77,H1,sia,SIA,ccd,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,,failed,1227,1234,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/duck_bavaria_h1_sia_ha_trimer_affinity/boltz_results_duck_bavaria_h1_sia_ha_trimer_affinity/msa/duck_bavaria_h1_sia_ha_trimer_affinity_0.csv,,,,,,,,,,,,,,,,,,,
duck_bavaria_h1_ngc_ha_trimer_affinity,duck_bavaria_h1,A/duck/Bavaria/1/77,H1,ngc,NGC,ccd,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,,oom,1227,1234,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/duck_bavaria_h1_ngc_ha_trimer_affinity/boltz_results_duck_bavaria_h1_ngc_ha_trimer_affinity/msa/duck_bavaria_h1_ngc_ha_trimer_affinity_0.csv,,,,,,,,,,,,,,,,,,,
memphis_h1_a23_ha_trimer_affinity,memphis_h1,A/Memphis/7/1980,H1,a23,alpha2-3 SIA glycan,smiles,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,,failed,,,,,,,,,,,,,,,,,,,,,,
memphis_h1_a26_ha_trimer_affinity,memphis_h1,A/Memphis/7/1980,H1,a26,alpha2-6 SIA glycan,smiles,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,,failed,,,,,,,,,,,,,,,,,,,,,,
memphis_h1_sia_ha_trimer_affinity,memphis_h1,A/Memphis/7/1980,H1,sia,SIA,ccd,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,0,ok,1224,1231,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_sia_ha_trimer_affinity/boltz_results_memphis_h1_sia_ha_trimer_affinity/msa/memphis_h1_sia_ha_trimer_affinity_0.csv,0.911236584186554,0.9188668131828308,0.8899605870246887,0.8807156085968018,0.8868522047996521,0.883209228515625,0.9020054340362549,0.5867641568183899,2.435804605484009,0.9006979465484619,0.6518514156341553,1.5741485357284546,0.7835607528686523,0.22724740207195282,0.520142138004303,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_sia_ha_trimer_affinity/boltz_results_memphis_h1_sia_ha_trimer_affinity/predictions/memphis_h1_sia_ha_trimer_affinity/memphis_h1_sia_ha_trimer_affinity_model_0.cif,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_sia_ha_trimer_affinity/boltz_results_memphis_h1_sia_ha_trimer_affinity/predictions/memphis_h1_sia_ha_trimer_affinity/confidence_memphis_h1_sia_ha_trimer_affinity_model_0.json,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_sia_ha_trimer_affinity/boltz_results_memphis_h1_sia_ha_trimer_affinity/predictions/memphis_h1_sia_ha_trimer_affinity/affinity_memphis_h1_sia_ha_trimer_affinity.json,
memphis_h1_ngc_ha_trimer_affinity,memphis_h1,A/Memphis/7/1980,H1,ngc,NGC,ccd,HA trimer + 1 affinity ligand,3,1,502,1506,ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5,40,1,1,3,200,5,0,ok,1224,1231,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_ngc_ha_trimer_affinity/boltz_results_memphis_h1_ngc_ha_trimer_affinity/msa/memphis_h1_ngc_ha_trimer_affinity_0.csv,0.9140462875366211,0.9211210012435913,0.8951984643936157,0.8857471942901611,0.8659954071044922,0.888333261013031,0.9039102792739868,0.591169536113739,2.627143621444702,1.5779246091842651,0.5363764762878418,2.5118350982666016,0.6098718643188477,0.6440141201019287,0.46288108825683594,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_ngc_ha_trimer_affinity/boltz_results_memphis_h1_ngc_ha_trimer_affinity/predictions/memphis_h1_ngc_ha_trimer_affinity/memphis_h1_ngc_ha_trimer_affinity_model_0.cif,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_ngc_ha_trimer_affinity/boltz_results_memphis_h1_ngc_ha_trimer_affinity/predictions/memphis_h1_ngc_ha_trimer_affinity/confidence_memphis_h1_ngc_ha_trimer_affinity_model_0.json,flu_trimer_single_ligand_affinity/runs/ha_trimer_1lig_aff_s40_n1_p1_r3_as200_an5/memphis_h1_ngc_ha_trimer_affinity/boltz_results_memphis_h1_ngc_ha_trimer_affinity/predictions/memphis_h1_ngc_ha_trimer_affinity/affinity_memphis_h1_ngc_ha_trimer_affinity.json,
